,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details
2359, الدمام,   حي الفرسان ,غرب,350,5,4,4,2,1,1,1,1,0,0,0,0,1,0,1,1,0,0,30000,"دبلوكسين بجوار بعض 
  للايجار في مدينه الدمام حي الفرسان موقع استراتيجي 
مساحه ٣٥٠ م
الايجار ٣٠ الف سنويا
للاستفسار اكثر يرجى عدم التردد بالاتصال
على الرقم التالي :
0501773550"
810, الرياض,   حي الياسمين ,شرق,375,3,5,5,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,95000,للأيجار فيلا درج صاله في حي الياسمين مربع ٢٤ مساحه ٣٧٥م  تتكون من الأرضي استقبال مدخل سياره غرفه سايق مجلس رجال مقلط صاله وربع غرف نوم كل غرفه بحمام في السطح ثلاث غرف نوم   الا يجار ٩٥ الف راكب مطبخ بدون مكيفات للتواصل جوال ابو يوسف 0503733355
1200, جدة,   حي الزهراء ,شمال,300,4,3,5,3,1,1,0,1,1,1,1,1,1,1,0,1,1,1,150000,"فلا للايجار السنوي
مفروشه فرش كامل
3 غرف نوم رئيسيه
3 صوالين
5 دورات مياه
غرفة شغاله"
3447, الخبر,   حي اللؤلؤ ,غرب,437,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,"للإيجار فيلا دورين وملحق في حي الأصداف

المساحة : ٤٣٧ متر 

الدور الأرضي : 
ديوانية خارجية - دورة مياة - مجلس - غرفة طعام رجال - مجلس نساء - مطبخ 

الدور الأول : 
عدد ٥ غرف نوم ( ٣ غرف منها ماستر )

الدور الثاني :
 غرفتين - غرفة غسيل - دورة مياة

للت..."
1312, جدة,   حي السلامة ,شمال,275,8,5,5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,70000,فيلا روف دورين بحي السلامه
1409, جدة,   حي المحمدية ,شرق,375,9,5,5,2,1,0,1,1,0,0,1,1,1,0,0,1,0,0,100000,"فيلا للإيجار  خلف شركة المياة حي المحمدية_مدينة جدة
●التفاصيل :
الموقع : حي المحمدية
مساحة الارض : 375 م
مساحة المباني : 500 م
شارع : 16 م
●المواصفات :
تتكون الفيلا من دورين وملحق
• الدور الارضي : 
يتكون من صالونين الاول يستوعب 15 شخص. والاخر صالون ك..."
1648, جدة,   حي المحمدية ,شمال,250,8,4,3,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,130000,"فيلا اداريه مكونه من ٣ غرف نوم دورين وملحق موقف سياره 
غرفه حارس مقسمه غرف"
273, الرياض,   حي الرمال ,شمال شرقي,202,0,4,4,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,40000,"فيلا للايجار 
مجلس مع مشب مستقل مع دورات المياه +مقلط +صالة + مطبخ + ٤ دورات مياه + ٤ غرف نوم + سطح مستقل + درج داخلي + يوجد 5 مكيفات جديدة بنظام سبليت 
لتواصل عبر الاتصال 
ابوياسر 0504553360
ابو عبدالعزيز 0550888837"
2706, الدمام,   حي الشاطئ الغربي ,شمال,380,0,5,4,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,60000,‏دور ارضي بحي الشاطئ الغربي يتكون من ثلاث غرف نوم ‏ومقلط ومجلس وغرفة شغالة واربع دورات مياه مطبخ خارجي وداخلي حوش كراج سيارة مكيفة بالكامل تكييف مركزي بدون أثاث
2554, الدمام,   حي المنار ,شمال,350,0,7,5,3,1,1,1,1,0,0,0,0,1,0,0,1,0,0,100000,"فيلا جديدة للايجار بحي المنار  موقع ممتاز
الواجهة حجر ورخام 
قريبة من الخدمات وقريبة من النخيل مول 
تتكون من
الدور الارضي 
مجلس رجال
مقلط
مطبخ


صالة كبيرة وصالة صغيرة


غرفة نساء
دورتين مياه
مدخل سيارة
حوش بمساحة 70متر
مستودع خارجي
دورة مياه خارجية
..."
650, الرياض,   حي الروضة ,شرق,900,20,5,5,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,120000,فيلا مستخدمة ومجددة للايجار بحي الروضة موقع ممتاز مساحتها ٩٠٠م السعر قابل للمفاوضه
